,gt,ocr,cer,wer,n_characters,n_words,report
532,input/betrdrzwt_648826694/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000061.txt,input/betrdrzwt_648826694/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000061.txt,0.082010582010582,0.16304347826086957,1134,184,report-betrdrzwt_648826694-00000061-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
240,input/betrdrzwt_648826694/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000061.txt,input/betrdrzwt_648826694/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000061.txt,0.18165784832451498,0.30434782608695654,1134,184,report-betrdrzwt_648826694-00000061-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
537,input/betrdrzwt_648826694/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000062.txt,input/betrdrzwt_648826694/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000062.txt,0.06265457543281121,0.09844559585492228,1213,193,report-betrdrzwt_648826694-00000062-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
202,input/betrdrzwt_648826694/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000062.txt,input/betrdrzwt_648826694/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000062.txt,0.1640560593569662,0.20207253886010362,1213,193,report-betrdrzwt_648826694-00000062-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
111,input/betrdrzwt_648826694/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000063.txt,input/betrdrzwt_648826694/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000063.txt,0.0517464424320828,0.12295081967213115,1546,244,report-betrdrzwt_648826694-00000063-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
613,input/betrdrzwt_648826694/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000063.txt,input/betrdrzwt_648826694/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000063.txt,0.1571798188874515,0.29098360655737704,1546,244,report-betrdrzwt_648826694-00000063-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
47,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000018.txt,input/borrdisc_689809840/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000018.txt,0.032667876588021776,0.12698412698412698,1102,189,report-borrdisc_689809840-00000018-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
409,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000018.txt,input/borrdisc_689809840/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000018.txt,0.19147005444646098,0.31216931216931215,1102,189,report-borrdisc_689809840-00000018-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
595,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000019.txt,input/borrdisc_689809840/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000019.txt,0.02586206896551724,0.10526315789473684,1160,190,report-borrdisc_689809840-00000019-OCR-D-GT-PAGEvsOCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
89,input/borrdisc_689809840/OCR-D-GT-PAGE/OCR-D-GT-PAGE_00000019.txt,input/borrdisc_689809840/anahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb/OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb_00000019.txt,0.1956896551724138,0.3473684210526316,1160,190,report-borrdisc_689809840-00000019-OCR-D-GT-PAGEvsanahash-OCR-D-OCR-CALA-gt4histocr-OCR-D-GT-PAGE-BINPAGE-sbb.json
